"email_id","subject_length","send_time","day_of_week","customer_segment","previous_opens","opened"
69,40,"evening","Fri","new",9,"No"
70,34,"evening","Tue","churn",5,"No"
71,60,"evening","Fri","new",1,"No"
72,66,"evening","Fri","new",1,"No"
73,45,"morning","Fri","churn",4,"No"
74,79,"morning","Wed","new",4,"Yes"
75,50,"morning","Wed","new",2,"Yes"
76,35,"morning","Thu","churn",5,"No"
77,71,"morning","Wed","loyal",6,"No"
78,49,"afternoon","Fri","loyal",1,"No"
79,25,"morning","Mon","loyal",3,"No"
80,62,"afternoon","Wed","churn",7,"No"
81,27,"afternoon","Mon","churn",2,"No"
82,41,"evening","Mon","new",0,"No"
83,41,"evening","Mon","churn",3,"No"
84,58,"morning","Thu","loyal",5,"No"
85,50,"afternoon","Wed","churn",10,"No"
86,67,"afternoon","Thu","new",1,"No"
87,36,"morning","Tue","new",0,"No"
88,73,"evening","Tue","loyal",2,"No"
89,69,"evening","Thu","loyal",7,"Yes"
90,68,"afternoon","Tue","loyal",3,"Yes"
91,53,"morning","Tue","loyal",0,"No"
92,23,"evening","Wed","loyal",0,"No"
93,32,"afternoon","Tue","loyal",4,"No"
94,24,"morning","Thu","new",4,"No"
95,73,"evening","Wed","churn",7,"Yes"
96,70,"afternoon","Tue","new",10,"Yes"
97,44,"afternoon","Mon","churn",5,"No"
98,71,"afternoon","Mon","churn",7,"No"
99,41,"afternoon","Fri","churn",6,"No"
100,44,"afternoon","Tue","loyal",6,"Yes"
101,51,"morning","Tue","loyal",5,"Yes"
102,65,"morning","Mon","new",4,"Yes"
103,44,"evening","Wed","loyal",8,"Yes"
104,42,"morning","Thu","new",3,"No"
105,54,"morning","Tue","churn",4,"No"
106,59,"evening","Tue","churn",0,"No"
107,67,"morning","Fri","new",9,"Yes"
108,49,"afternoon","Tue","loyal",7,"No"
109,31,"evening","Wed","loyal",2,"No"
110,50,"evening","Fri","loyal",4,"No"
111,76,"afternoon","Wed","churn",4,"Yes"
112,65,"afternoon","Wed","new",3,"Yes"
113,49,"morning","Tue","churn",4,"No"
114,54,"evening","Wed","new",1,"Yes"
115,33,"evening","Wed","loyal",10,"No"
116,48,"morning","Mon","churn",8,"No"
117,51,"evening","Mon","churn",4,"No"
118,26,"morning","Fri","new",0,"No"
119,22,"morning","Wed","new",0,"No"
120,42,"afternoon","Tue","loyal",10,"No"
121,73,"morning","Thu","loyal",7,"Yes"
122,77,"morning","Fri","new",4,"Yes"
123,34,"morning","Mon","churn",0,"Yes"
124,40,"morning","Fri","loyal",2,"No"
125,56,"morning","Wed","churn",1,"No"
126,27,"morning","Fri","new",7,"No"
127,70,"evening","Tue","loyal",2,"No"
128,29,"evening","Mon","churn",5,"No"
129,69,"morning","Fri","loyal",4,"Yes"
130,61,"morning","Thu","churn",3,"No"
131,63,"evening","Tue","loyal",7,"No"
132,53,"afternoon","Wed","loyal",3,"No"
133,29,"afternoon","Wed","new",9,"Yes"
134,41,"evening","Thu","churn",8,"No"
135,31,"evening","Tue","loyal",4,"No"
136,39,"afternoon","Thu","new",2,"No"
137,65,"evening","Mon","new",4,"Yes"
138,36,"evening","Wed","loyal",6,"Yes"
139,65,"morning","Mon","loyal",8,"No"
140,73,"afternoon","Wed","new",7,"No"
141,54,"afternoon","Tue","loyal",5,"No"
142,59,"afternoon","Mon","new",8,"No"
143,65,"afternoon","Thu","churn",2,"Yes"
144,70,"morning","Wed","new",2,"No"
145,49,"morning","Tue","new",7,"Yes"
146,34,"afternoon","Wed","loyal",1,"No"
147,43,"afternoon","Thu","new",1,"No"
148,68,"morning","Mon","loyal",9,"No"
149,42,"evening","Fri","churn",2,"No"
150,62,"morning","Tue","churn",8,"Yes"
151,26,"evening","Fri","loyal",5,"No"
152,48,"evening","Fri","loyal",1,"No"
153,34,"afternoon","Mon","new",10,"No"
154,42,"evening","Wed","loyal",2,"No"
155,45,"evening","Fri","new",10,"No"
156,57,"evening","Thu","new",1,"No"
157,65,"morning","Tue","churn",1,"No"
158,51,"evening","Wed","churn",10,"No"
159,26,"morning","Wed","churn",5,"No"
160,46,"evening","Wed","churn",0,"No"
161,61,"morning","Fri","new",7,"Yes"
162,24,"morning","Wed","new",4,"No"
163,25,"afternoon","Fri","new",8,"No"
164,35,"afternoon","Fri","churn",2,"No"
165,43,"morning","Tue","churn",2,"No"
166,51,"morning","Thu","churn",1,"No"
167,40,"morning","Tue","loyal",0,"No"
168,74,"evening","Fri","churn",10,"No"
169,30,"morning","Thu","loyal",7,"Yes"
170,55,"morning","Thu","churn",10,"No"
171,63,"afternoon","Wed","loyal",7,"Yes"
172,65,"morning","Wed","loyal",6,"Yes"
173,79,"morning","Tue","loyal",7,"Yes"
174,80,"evening","Mon","new",9,"No"
175,38,"afternoon","Fri","loyal",0,"No"
176,44,"evening","Wed","loyal",8,"No"
177,58,"afternoon","Wed","churn",6,"Yes"
178,73,"evening","Fri","new",5,"No"
179,45,"morning","Fri","new",1,"No"
180,28,"afternoon","Mon","churn",5,"No"
181,26,"afternoon","Mon","churn",1,"No"
182,53,"afternoon","Fri","new",3,"Yes"
183,67,"afternoon","Thu","churn",1,"No"
184,32,"afternoon","Tue","new",5,"Yes"
185,38,"morning","Mon","loyal",5,"Yes"
186,75,"evening","Tue","loyal",2,"No"
187,71,"afternoon","Tue","new",1,"Yes"
188,66,"evening","Wed","loyal",7,"Yes"
189,58,"afternoon","Fri","new",10,"No"
190,23,"morning","Fri","loyal",3,"No"
191,20,"evening","Thu","loyal",8,"No"
192,59,"afternoon","Fri","loyal",5,"Yes"
193,49,"evening","Tue","loyal",10,"No"
194,49,"afternoon","Mon","loyal",1,"No"
195,71,"evening","Wed","new",0,"No"
196,44,"evening","Mon","loyal",8,"No"
197,35,"afternoon","Tue","loyal",7,"No"
198,43,"afternoon","Tue","loyal",5,"No"
199,73,"afternoon","Thu","new",7,"No"
200,30,"evening","Thu","loyal",3,"Yes"
201,67,"morning","Mon","churn",4,"Yes"
202,39,"morning","Thu","loyal",1,"Yes"
203,59,"morning","Thu","new",9,"No"
204,22,"evening","Mon","loyal",4,"No"
205,48,"morning","Wed","churn",4,"No"
206,55,"afternoon","Tue","new",8,"No"
207,71,"evening","Wed","loyal",6,"Yes"
208,63,"morning","Wed","new",1,"No"
209,41,"afternoon","Fri","loyal",10,"No"
210,68,"afternoon","Mon","loyal",9,"No"
211,61,"evening","Fri","new",8,"No"
212,78,"afternoon","Fri","new",9,"No"
213,39,"afternoon","Tue","loyal",9,"No"
214,30,"evening","Mon","churn",8,"No"
215,76,"afternoon","Thu","loyal",9,"Yes"
216,74,"morning","Fri","new",9,"No"
217,27,"evening","Tue","loyal",6,"No"
218,65,"morning","Fri","new",0,"Yes"
219,40,"evening","Fri","loyal",0,"No"
220,64,"evening","Mon","new",8,"No"
221,21,"afternoon","Tue","new",6,"No"
222,62,"evening","Fri","churn",5,"No"
223,32,"evening","Wed","loyal",2,"No"
224,65,"afternoon","Thu","new",3,"No"
225,25,"evening","Fri","churn",6,"No"
226,76,"morning","Wed","new",3,"Yes"
227,27,"afternoon","Mon","new",3,"No"
228,63,"afternoon","Wed","churn",6,"No"
229,51,"morning","Tue","loyal",0,"No"
230,77,"morning","Thu","churn",6,"No"
231,55,"evening","Thu","churn",1,"No"
232,64,"evening","Fri","loyal",7,"Yes"
233,80,"evening","Mon","loyal",10,"No"
234,33,"afternoon","Thu","churn",4,"Yes"
235,72,"evening","Thu","churn",0,"No"
236,35,"evening","Mon","new",2,"No"
237,42,"afternoon","Thu","new",6,"No"
238,80,"evening","Wed","churn",0,"No"
239,52,"morning","Wed","loyal",10,"Yes"
240,59,"evening","Fri","loyal",6,"No"
241,59,"evening","Fri","loyal",7,"No"
242,29,"evening","Mon","churn",1,"No"
243,44,"afternoon","Thu","loyal",5,"Yes"
244,27,"afternoon","Mon","new",9,"No"
245,37,"morning","Wed","churn",8,"Yes"
246,80,"morning","Thu","loyal",6,"Yes"
247,72,"evening","Tue","loyal",0,"No"
248,28,"afternoon","Mon","loyal",6,"Yes"
249,26,"evening","Tue","loyal",6,"Yes"
250,26,"evening","Fri","churn",0,"No"
251,77,"morning","Wed","loyal",1,"No"
252,80,"afternoon","Mon","new",2,"No"
253,79,"evening","Thu","loyal",10,"No"
254,29,"morning","Fri","loyal",7,"No"
255,43,"evening","Thu","new",0,"No"
256,73,"afternoon","Thu","loyal",2,"Yes"
257,42,"afternoon","Tue","loyal",8,"No"
258,45,"evening","Mon","new",3,"No"
259,62,"morning","Wed","churn",3,"No"
260,52,"morning","Wed","new",7,"No"
261,76,"evening","Fri","churn",2,"Yes"
262,80,"evening","Wed","loyal",10,"No"
263,48,"afternoon","Fri","new",3,"No"
264,70,"evening","Tue","new",4,"No"
265,29,"evening","Mon","churn",1,"No"
266,72,"evening","Tue","new",9,"No"
267,73,"morning","Fri","loyal",3,"No"
268,32,"morning","Thu","new",6,"No"
269,62,"evening","Tue","loyal",5,"Yes"
270,30,"morning","Thu","new",3,"No"
271,44,"morning","Wed","new",8,"Yes"
272,71,"evening","Thu","churn",6,"Yes"
273,45,"afternoon","Wed","loyal",7,"Yes"
274,26,"afternoon","Mon","churn",2,"No"
275,44,"morning","Wed","new",7,"No"
276,42,"afternoon","Fri","loyal",6,"No"
277,45,"evening","Fri","new",6,"No"
278,51,"morning","Tue","loyal",1,"No"
279,39,"morning","Fri","loyal",0,"No"
280,80,"morning","Mon","loyal",10,"No"
281,43,"morning","Thu","loyal",6,"Yes"
282,76,"morning","Mon","new",4,"Yes"
283,28,"morning","Wed","loyal",0,"No"
284,60,"afternoon","Tue","loyal",1,"No"
285,56,"afternoon","Wed","loyal",4,"No"
286,42,"afternoon","Tue","churn",5,"No"
287,33,"evening","Mon","new",5,"No"
288,65,"afternoon","Wed","loyal",0,"No"
289,25,"afternoon","Fri","new",7,"No"
290,46,"afternoon","Fri","loyal",7,"Yes"
291,20,"morning","Wed","churn",3,"Yes"
292,45,"afternoon","Fri","loyal",8,"Yes"
293,61,"evening","Mon","loyal",8,"No"
294,68,"morning","Mon","new",3,"No"
295,77,"evening","Mon","new",0,"No"
296,36,"evening","Mon","loyal",2,"No"
297,48,"evening","Fri","new",2,"No"
298,45,"morning","Fri","loyal",5,"No"
299,46,"evening","Fri","new",5,"No"
300,40,"afternoon","Thu","loyal",4,"No"
301,26,"morning","Thu","loyal",6,"Yes"
302,79,"evening","Thu","loyal",10,"Yes"
303,72,"afternoon","Fri","loyal",9,"Yes"
304,45,"afternoon","Mon","churn",8,"Yes"
305,60,"evening","Tue","churn",6,"No"
306,39,"evening","Wed","churn",10,"No"
307,25,"evening","Wed","churn",5,"No"
308,69,"morning","Fri","churn",9,"No"
309,49,"morning","Thu","loyal",9,"No"
310,50,"evening","Fri","churn",9,"No"
311,48,"evening","Tue","new",2,"No"
312,36,"morning","Thu","loyal",2,"No"
313,56,"evening","Mon","new",6,"No"
314,76,"afternoon","Tue","loyal",7,"No"
315,39,"evening","Thu","new",3,"No"
316,54,"evening","Mon","churn",6,"No"
317,44,"morning","Mon","churn",4,"No"
318,65,"morning","Fri","loyal",0,"No"
319,52,"morning","Mon","loyal",0,"No"
320,21,"morning","Mon","churn",3,"No"
321,23,"afternoon","Tue","loyal",0,"No"
322,29,"afternoon","Fri","new",1,"No"
323,52,"evening","Fri","churn",3,"Yes"
324,24,"evening","Wed","new",8,"No"
325,72,"afternoon","Wed","loyal",1,"No"
326,44,"morning","Thu","new",9,"No"
327,27,"morning","Mon","churn",2,"No"
328,74,"evening","Fri","new",4,"No"
329,44,"afternoon","Tue","new",5,"Yes"
330,40,"morning","Fri","new",10,"No"
331,64,"morning","Thu","churn",9,"Yes"
332,37,"afternoon","Mon","churn",0,"No"
333,61,"evening","Fri","loyal",5,"No"
334,50,"morning","Fri","new",8,"No"
335,25,"afternoon","Tue","new",4,"No"
336,26,"morning","Fri","new",0,"Yes"
337,80,"afternoon","Wed","loyal",5,"Yes"
338,60,"evening","Wed","new",7,"No"
339,67,"afternoon","Fri","loyal",1,"No"
340,36,"morning","Mon","churn",8,"Yes"
341,72,"evening","Fri","churn",10,"No"
342,64,"evening","Mon","churn",3,"No"
343,47,"morning","Fri","loyal",3,"Yes"
344,72,"afternoon","Fri","churn",10,"Yes"
345,59,"morning","Tue","new",8,"No"
346,72,"morning","Thu","churn",9,"No"
347,26,"morning","Thu","loyal",4,"No"
348,39,"evening","Wed","churn",9,"No"
349,37,"evening","Mon","loyal",3,"No"
350,48,"afternoon","Fri","loyal",3,"Yes"
351,36,"afternoon","Tue","new",1,"No"
352,52,"afternoon","Mon","new",2,"Yes"
353,21,"evening","Thu","loyal",3,"No"
354,68,"afternoon","Mon","new",10,"No"
355,21,"morning","Fri","churn",4,"No"
356,32,"morning","Tue","loyal",7,"No"
357,43,"morning","Fri","new",10,"Yes"
358,68,"morning","Mon","churn",2,"No"
359,22,"evening","Fri","new",0,"No"
360,37,"afternoon","Fri","new",1,"Yes"
361,21,"afternoon","Mon","churn",2,"No"
362,56,"morning","Thu","loyal",6,"Yes"
363,31,"evening","Thu","loyal",2,"No"
364,76,"morning","Tue","churn",2,"No"
365,32,"evening","Fri","loyal",6,"No"
366,61,"afternoon","Tue","loyal",9,"No"
367,80,"afternoon","Thu","new",3,"No"
368,25,"afternoon","Tue","loyal",7,"No"
369,61,"evening","Mon","churn",0,"No"
370,61,"morning","Mon","loyal",1,"Yes"
371,57,"morning","Wed","churn",3,"Yes"
372,79,"morning","Tue","new",9,"No"
373,67,"afternoon","Thu","loyal",1,"No"
374,35,"morning","Tue","loyal",2,"No"
375,54,"afternoon","Mon","new",5,"No"
376,55,"afternoon","Fri","loyal",5,"Yes"
377,46,"afternoon","Wed","new",10,"No"
378,46,"evening","Wed","loyal",1,"Yes"
379,54,"morning","Tue","churn",8,"No"
380,80,"afternoon","Fri","loyal",4,"No"
381,42,"evening","Fri","churn",1,"No"
382,22,"morning","Thu","loyal",4,"No"
383,50,"evening","Mon","loyal",1,"No"
384,67,"morning","Wed","loyal",2,"No"
385,21,"evening","Tue","churn",4,"No"
386,66,"afternoon","Wed","loyal",3,"No"
387,42,"morning","Mon","churn",0,"No"
388,22,"afternoon","Wed","new",5,"No"
389,28,"afternoon","Fri","new",2,"No"
390,80,"morning","Tue","loyal",10,"Yes"
391,58,"afternoon","Wed","churn",0,"No"
392,49,"morning","Mon","churn",10,"No"
393,50,"afternoon","Thu","churn",0,"No"
394,49,"evening","Wed","loyal",10,"Yes"
395,28,"afternoon","Tue","loyal",5,"No"
396,55,"evening","Wed","loyal",2,"Yes"
397,53,"evening","Fri","new",9,"Yes"
398,41,"afternoon","Wed","loyal",8,"No"
399,77,"afternoon","Fri","loyal",1,"Yes"
400,63,"afternoon","Thu","new",6,"Yes"
401,60,"morning","Wed","loyal",1,"Yes"
402,47,"evening","Thu","new",9,"No"
403,48,"morning","Thu","loyal",9,"No"
404,80,"evening","Fri","churn",7,"Yes"
405,62,"afternoon","Fri","churn",1,"No"
406,58,"afternoon","Tue","loyal",10,"No"
407,64,"afternoon","Thu","churn",4,"No"
408,56,"afternoon","Mon","new",4,"No"
409,62,"evening","Tue","loyal",8,"Yes"
410,52,"afternoon","Tue","churn",2,"No"
411,38,"evening","Wed","loyal",10,"No"
412,31,"evening","Thu","new",9,"No"
413,53,"evening","Tue","new",4,"No"
414,40,"morning","Wed","loyal",0,"No"
415,36,"morning","Tue","loyal",4,"Yes"
416,31,"afternoon","Fri","loyal",9,"No"
417,49,"afternoon","Fri","churn",4,"Yes"
418,54,"morning","Fri","loyal",4,"Yes"
419,49,"morning","Thu","new",7,"No"
420,44,"evening","Tue","loyal",1,"No"
421,69,"evening","Wed","new",9,"No"
422,66,"morning","Thu","new",5,"No"
423,73,"afternoon","Tue","churn",7,"No"
424,22,"morning","Tue","new",6,"Yes"
425,70,"morning","Fri","new",8,"Yes"
426,76,"afternoon","Thu","new",4,"No"
427,37,"afternoon","Fri","loyal",7,"No"
428,51,"afternoon","Tue","churn",9,"No"
429,36,"morning","Wed","new",0,"No"
430,57,"afternoon","Mon","loyal",1,"Yes"
431,61,"afternoon","Wed","loyal",9,"No"
432,59,"morning","Wed","loyal",0,"No"
433,61,"evening","Fri","loyal",2,"No"
434,51,"afternoon","Mon","new",2,"No"
435,45,"morning","Wed","new",2,"No"
436,32,"afternoon","Mon","new",9,"No"
437,39,"evening","Fri","churn",5,"No"
438,57,"morning","Thu","churn",1,"No"
439,39,"afternoon","Thu","churn",9,"Yes"
440,48,"evening","Mon","new",7,"No"
441,39,"afternoon","Fri","loyal",8,"No"
442,49,"afternoon","Mon","new",1,"No"
443,60,"evening","Wed","new",2,"No"
444,67,"morning","Wed","loyal",6,"No"
445,27,"afternoon","Thu","new",7,"No"
446,58,"morning","Thu","churn",4,"No"
447,29,"evening","Wed","loyal",4,"No"
448,36,"morning","Wed","churn",8,"Yes"
449,37,"evening","Tue","churn",7,"No"
450,59,"morning","Wed","churn",3,"No"
451,70,"morning","Fri","new",5,"Yes"
452,61,"afternoon","Mon","churn",6,"No"
453,74,"evening","Fri","new",7,"Yes"
454,30,"evening","Wed","new",10,"Yes"
455,68,"evening","Tue","new",9,"No"
456,63,"evening","Fri","churn",2,"No"
457,21,"evening","Wed","churn",10,"No"
458,38,"afternoon","Fri","new",5,"No"
459,32,"evening","Mon","new",8,"No"
460,32,"evening","Thu","new",2,"No"
461,50,"afternoon","Thu","loyal",1,"No"
462,49,"evening","Wed","new",5,"No"
463,70,"afternoon","Tue","loyal",0,"No"
464,41,"evening","Thu","new",1,"No"
465,49,"evening","Mon","loyal",10,"No"
466,29,"afternoon","Thu","new",0,"No"
467,35,"afternoon","Wed","new",2,"No"
468,24,"evening","Tue","new",6,"No"
469,55,"morning","Thu","new",1,"No"
470,69,"morning","Fri","churn",1,"No"
471,52,"morning","Tue","new",1,"No"
472,35,"evening","Wed","loyal",10,"No"
473,47,"evening","Wed","loyal",7,"No"
474,68,"evening","Fri","loyal",8,"Yes"
475,31,"morning","Fri","loyal",8,"Yes"
476,72,"morning","Thu","new",4,"No"
477,47,"evening","Tue","churn",5,"No"
478,21,"evening","Mon","new",3,"No"
479,69,"evening","Mon","new",2,"No"
480,31,"morning","Fri","new",9,"No"
481,66,"morning","Thu","churn",2,"No"
482,70,"morning","Thu","loyal",7,"No"
483,72,"morning","Thu","new",2,"No"
484,25,"morning","Mon","loyal",6,"Yes"
485,35,"evening","Mon","churn",8,"No"
486,77,"afternoon","Tue","loyal",2,"No"
487,34,"evening","Wed","new",3,"No"
488,38,"evening","Mon","churn",2,"No"
489,78,"evening","Thu","loyal",6,"No"
490,22,"evening","Thu","churn",6,"No"
491,65,"morning","Tue","loyal",6,"No"
492,52,"afternoon","Wed","churn",10,"Yes"
493,75,"afternoon","Mon","churn",6,"No"
494,52,"evening","Wed","new",5,"No"
495,67,"evening","Wed","churn",7,"Yes"
496,30,"afternoon","Mon","new",4,"Yes"
497,55,"morning","Thu","churn",3,"No"
498,75,"morning","Wed","churn",3,"No"
499,63,"morning","Mon","loyal",8,"No"
500,64,"evening","Thu","churn",1,"No"
501,29,"morning","Thu","new",1,"No"
502,61,"afternoon","Mon","churn",6,"No"
503,43,"afternoon","Fri","loyal",2,"No"
504,47,"afternoon","Wed","new",0,"No"
505,58,"morning","Mon","churn",10,"No"
506,37,"afternoon","Fri","churn",8,"No"
507,36,"evening","Mon","new",3,"No"
508,39,"evening","Mon","new",8,"Yes"
509,78,"morning","Thu","churn",0,"Yes"
510,28,"evening","Wed","new",1,"No"
511,72,"evening","Thu","new",0,"No"
512,30,"evening","Thu","loyal",8,"No"
513,63,"morning","Fri","churn",10,"No"
514,27,"afternoon","Wed","new",2,"No"
515,69,"afternoon","Tue","new",2,"No"
516,24,"afternoon","Wed","churn",6,"No"
517,48,"afternoon","Fri","loyal",7,"Yes"
518,69,"morning","Thu","loyal",3,"No"
519,25,"afternoon","Thu","loyal",1,"No"
520,29,"morning","Wed","loyal",5,"Yes"
521,45,"afternoon","Fri","new",0,"No"
522,28,"morning","Thu","loyal",5,"No"
523,30,"afternoon","Tue","churn",2,"No"
524,74,"morning","Thu","loyal",2,"No"
525,25,"evening","Mon","churn",8,"No"
526,51,"afternoon","Tue","new",4,"Yes"
527,31,"morning","Mon","loyal",10,"No"
528,38,"morning","Mon","new",3,"No"
529,46,"morning","Fri","churn",2,"No"
530,75,"afternoon","Fri","churn",4,"Yes"
531,51,"morning","Wed","churn",2,"No"
532,46,"morning","Fri","churn",6,"No"
533,49,"evening","Fri","loyal",2,"No"
534,74,"afternoon","Wed","churn",2,"No"
535,23,"evening","Fri","new",0,"No"
536,43,"evening","Mon","new",3,"Yes"
537,47,"evening","Tue","churn",5,"No"
538,22,"afternoon","Thu","churn",10,"No"
539,65,"morning","Wed","new",4,"No"
540,59,"evening","Fri","new",9,"No"
541,25,"afternoon","Wed","churn",6,"No"
542,55,"morning","Fri","loyal",1,"No"
543,74,"evening","Wed","new",7,"No"
544,61,"afternoon","Thu","loyal",9,"Yes"
545,67,"evening","Mon","churn",0,"No"
546,78,"evening","Tue","churn",9,"Yes"
547,75,"evening","Thu","new",4,"No"
548,49,"evening","Tue","new",10,"Yes"
549,67,"afternoon","Thu","churn",8,"Yes"
550,71,"evening","Thu","loyal",1,"No"
551,29,"evening","Tue","loyal",8,"No"
552,44,"evening","Wed","new",7,"Yes"
553,57,"afternoon","Thu","churn",9,"No"
554,70,"morning","Tue","new",9,"Yes"
555,55,"morning","Thu","churn",3,"No"
556,60,"afternoon","Wed","churn",5,"No"
557,44,"afternoon","Fri","loyal",6,"No"
558,23,"evening","Tue","new",7,"No"
559,34,"morning","Thu","churn",8,"No"
560,71,"morning","Mon","loyal",8,"Yes"
561,41,"morning","Thu","new",6,"No"
562,72,"morning","Fri","new",1,"No"
563,68,"morning","Thu","churn",5,"Yes"
564,43,"evening","Wed","loyal",0,"No"
565,58,"afternoon","Mon","churn",4,"No"
566,66,"evening","Tue","churn",7,"Yes"
567,79,"afternoon","Fri","loyal",7,"No"
568,56,"morning","Fri","loyal",3,"No"
569,65,"morning","Fri","new",0,"No"
570,73,"afternoon","Fri","new",8,"No"
571,66,"morning","Thu","churn",0,"No"
572,34,"morning","Wed","loyal",1,"No"
573,35,"evening","Thu","churn",1,"No"
574,38,"afternoon","Wed","loyal",3,"No"
575,27,"morning","Mon","new",9,"No"
576,50,"afternoon","Thu","new",0,"No"
577,77,"afternoon","Thu","loyal",4,"No"
578,56,"afternoon","Thu","churn",7,"No"
579,58,"morning","Thu","loyal",7,"No"
580,71,"afternoon","Wed","new",1,"No"
581,67,"morning","Tue","churn",6,"No"
582,79,"evening","Tue","new",6,"No"
583,35,"evening","Wed","new",10,"No"
584,28,"morning","Wed","churn",0,"No"
585,30,"afternoon","Fri","churn",0,"No"
586,62,"evening","Mon","churn",3,"No"
587,70,"afternoon","Mon","loyal",0,"No"
588,49,"evening","Thu","new",4,"No"
589,80,"morning","Wed","loyal",1,"Yes"
590,29,"evening","Tue","new",2,"Yes"
591,74,"afternoon","Thu","churn",3,"No"
592,80,"evening","Fri","loyal",0,"No"
593,53,"evening","Tue","churn",0,"No"
594,76,"evening","Tue","new",3,"No"
595,57,"morning","Wed","loyal",5,"No"
596,39,"morning","Tue","churn",3,"No"
597,65,"afternoon","Wed","new",5,"Yes"
598,33,"evening","Thu","churn",8,"No"
599,25,"morning","Thu","churn",3,"No"
600,37,"morning","Mon","new",3,"No"
601,21,"afternoon","Thu","loyal",5,"No"
602,75,"morning","Fri","loyal",9,"No"
603,27,"morning","Thu","churn",1,"No"
604,30,"afternoon","Tue","churn",7,"No"
605,40,"morning","Wed","churn",0,"No"
606,76,"evening","Thu","loyal",9,"No"
607,26,"morning","Thu","new",7,"Yes"
608,70,"afternoon","Thu","churn",4,"No"
609,42,"evening","Tue","loyal",3,"No"
610,27,"afternoon","Tue","loyal",7,"No"
611,78,"morning","Tue","new",9,"Yes"
612,29,"evening","Tue","new",1,"No"
613,56,"afternoon","Wed","loyal",5,"No"
614,36,"afternoon","Mon","churn",1,"No"
615,74,"morning","Fri","new",9,"Yes"
616,25,"afternoon","Fri","loyal",0,"No"
617,59,"evening","Mon","churn",7,"Yes"
618,71,"morning","Fri","churn",3,"No"
619,25,"afternoon","Mon","loyal",2,"No"
620,66,"afternoon","Mon","loyal",10,"No"
621,47,"evening","Fri","new",6,"No"
622,51,"morning","Thu","churn",1,"No"
623,68,"evening","Tue","churn",0,"No"
624,54,"morning","Thu","new",7,"No"
625,47,"morning","Mon","new",0,"No"
626,66,"afternoon","Wed","loyal",4,"No"
627,39,"evening","Wed","loyal",6,"No"
628,20,"evening","Wed","new",1,"No"
629,24,"morning","Tue","loyal",5,"No"
